model,noise_sigma,denoise_method,Accuracy,F1-Score,Sensitivity,Specificity,Precision,TP,FP,FN,TN
yolov10m,0,cae_pso,0.7533,0.7669,0.7806,0.7238,0.7537,153,50,43,131
yolo11m,0,cae_pso,0.7912,0.8061,0.836,0.7429,0.7783,158,45,31,130
yolo12m,0,cae_pso,0.7973,0.8122,0.8377,0.7529,0.7882,160,43,31,131
yolov8m,1,cae_pso,0.7433,0.7612,0.7688,0.7143,0.7537,153,50,46,125
yolov9m,1,cae_pso,0.7161,0.7224,0.7206,0.7113,0.7241,147,56,57,138
yolov10m,1,cae_pso,0.7093,0.71,0.7208,0.698,0.6995,142,61,55,141
yolo11m,1,cae_pso,0.6839,0.6713,0.6372,0.7318,0.7094,144,59,82,161
yolo12m,1,cae_pso,0.7328,0.7404,0.7742,0.6927,0.7094,144,59,42,133
yolov8m,5,cae_pso,0.757,0.7704,0.8295,0.6868,0.7192,146,57,30,125
yolov9m,5,cae_pso,0.7303,0.7402,0.7366,0.7234,0.7438,151,52,54,136
yolov10m,5,cae_pso,0.7473,0.7566,0.8171,0.6825,0.7044,143,60,32,129
yolo11m,5,cae_pso,0.7479,0.7514,0.8553,0.6616,0.67,136,67,23,131
yolo12m,5,cae_pso,0.7222,0.733,0.7225,0.7219,0.7438,151,52,58,135
yolov8m,10,cae_pso,0.7169,0.7206,0.7667,0.6717,0.6798,138,65,42,133
yolov9m,10,cae_pso,0.7139,0.7332,0.693,0.7414,0.7783,158,45,70,129
yolov10m,10,cae_pso,0.7429,0.7527,0.8509,0.6508,0.6749,137,66,24,123
yolo11m,10,cae_pso,0.7554,0.768,0.8054,0.7049,0.734,149,54,36,129
yolo12m,10,cae_pso,0.6917,0.6972,0.7211,0.6633,0.6749,137,66,53,130
yolov8m,20,cae_pso,0.762,0.7742,0.8521,0.6793,0.7094,144,59,25,125
yolov9m,20,cae_pso,0.7294,0.7395,0.745,0.7128,0.734,149,54,51,134
yolov10m,20,cae_pso,0.7295,0.7429,0.7857,0.6739,0.7044,143,60,39,124
yolo11m,20,cae_pso,0.692,0.6892,0.6349,0.7585,0.7537,153,50,88,157
yolo12m,20,cae_pso,0.7371,0.7512,0.744,0.7293,0.7586,154,49,53,132
yolov8m,30,cae_pso,0.7179,0.7307,0.7965,0.6452,0.6749,137,66,35,120
